datetime,mode1_d,mode1_sigma,NSD1_sum,mode2_d,mode2_sigma,NSD2_sum
2016-01-17 11:00:00,10.49656255630056,0.0,213.41450519256784,37.36734651732493,0.0,193.18437290709335
2016-01-17 13:00:00,0.0,0.0,131.1620645308621,7.331141391303618,0.0,30.256693304683267
2016-01-17 15:00:00,11.837091043377285,0.0,124.79696284678948,21.697478456713668,0.0,132.3793490351331
2016-01-17 17:00:00,6.848440804036237,0.0,34.663723781888194,2.345260411363455,0.0,65.51788237641654
2016-01-17 19:00:00,4.7968809583807115,0.0,20.139511436792475,2.345260411363455,0.0,33.62859445954746
2016-01-17 21:00:00,7.439756637904392,0.0,50.230653583234584,4.69052082272691,0.0,44.982292444173595
2016-01-17 23:00:00,4.708964192904187,0.0,47.14005037782678,6.853692128152147,0.0,59.41403288728566
2016-01-22 01:00:00,0.0,0.0,35.87774684110784,0.19816093077855612,0.0,23.65027891090034
2016-01-22 03:00:00,6.390124982795044,0.0,110.48782939707976,0.19816093077855612,0.0,11.727975721047443
2016-01-22 05:00:00,4.708964192904183,0.0,89.00068160323212,4.6939923982080245,0.0,45.62358431930474
2016-01-22 07:00:00,4.317454148357488,0.0,86.38438108962876,13.817802212435026,0.0,84.72204501275644
2016-01-22 09:00:00,1.4257271584019762,0.0,74.01288325912805,24.859337383632578,0.0,58.26455945823082
2016-01-22 11:00:00,5.6872885012086805,0.0,245.87144689097195,71.5690563574905,0.0,124.4693625490161
2016-01-22 13:00:00,3.6212987199095714,0.0,29.78195923903354,0.0,0.0,61.08472105816395
2016-01-22 15:00:00,0.0,0.0,64.09331138871369,0.0,0.0,16.774605311513426
2016-01-22 17:00:00,0.08354815074664046,0.0,35.47956451664277,0.9946685288945929,0.0,95.13859704192731
2016-01-22 19:00:00,1.6853976452022081,0.0,60.009638313094456,3.355911735215223,0.0,21.436263536191404
2016-01-22 21:00:00,1.678571122479818,0.0,23.563027587370442,0.9946685288945929,0.0,35.164233024014834
2016-01-22 23:00:00,5.839959932031107,0.0,31.06295460084806,7.544671284302126,0.0,88.74444952318322
